feature,feature value,n_samples,precision,recall,fbeta
workclass, Self-emp-not-inc,518,0.8350515463917526,0.525974025974026,0.6454183266932272
workclass, Private,4434,0.7882822902796272,0.6122026887280249,0.6891734575087312
workclass, Local-gov,399,0.6956521739130435,0.7207207207207207,0.7079646017699114
workclass, State-gov,263,0.8026315789473685,0.7439024390243902,0.7721518987341772
workclass, Self-emp-inc,213,0.7767857142857143,0.7699115044247787,0.7733333333333333
workclass, Federal-gov,200,0.7466666666666667,0.7567567567567568,0.7516778523489932
workclass, Without-pay,1,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
education, HS-grad,1967,0.7681159420289855,0.33544303797468356,0.46696035242290757
education, 11th,210,1.0,0.4166666666666667,0.5882352941176471
education, Some-college,1338,0.7333333333333333,0.44,0.5499999999999999
education, 7th-8th,133,1.0,0.1,0.18181818181818182
education, Assoc-voc,258,0.8913043478260869,0.5394736842105263,0.6721311475409836
education, 9th,91,1.0,0.0,0.0
education, Bachelors,1016,0.7625272331154684,0.8293838862559242,0.7945516458569807
education, 12th,71,1.0,0.16666666666666666,0.2857142857142857
education, Prof-school,118,0.9,0.9782608695652174,0.9375
education, 10th,149,1.0,0.38461538461538464,0.5555555555555556
education, Doctorate,97,0.8518518518518519,0.8961038961038961,0.8734177215189873
education, Masters,305,0.7631578947368421,0.8950617283950617,0.8238636363636365
education, Assoc-acdm,182,0.6363636363636364,0.6774193548387096,0.65625
education, 1st-4th,32,1.0,0.0,0.0
education, 5th-6th,54,1.0,0.4,0.5714285714285715
education, Preschool,7,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
marital-status, Married-civ-spouse,2844,0.7774822695035462,0.6730621642363775,0.7215137803373097
marital-status, Divorced,841,0.8157894736842105,0.4025974025974026,0.5391304347826087
marital-status, Never-married,1927,0.8478260869565217,0.4482758620689655,0.5864661654135339
marital-status, Widowed,178,1.0,0.13333333333333333,0.23529411764705882
marital-status, Separated,169,0.75,0.5,0.6
marital-status, Married-spouse-absent,63,0.5,0.3333333333333333,0.4
marital-status, Married-AF-spouse,6,0.5,0.25,0.3333333333333333
feature,feature value,n_samples,precision,recall,fbeta
occupation, Farming-fishing,179,1.0,0.34782608695652173,0.5161290322580645
occupation, Other-service,599,1.0,0.1875,0.3157894736842105
occupation, Adm-clerical,736,0.7377049180327869,0.5232558139534884,0.6122448979591837
occupation, Craft-repair,821,0.8783783783783784,0.34946236559139787,0.5
occupation, Exec-managerial,786,0.7568238213399504,0.8333333333333334,0.7932379713914174
occupation, Transport-moving,328,0.9375,0.22727272727272727,0.36585365853658536
occupation, Sales,723,0.7551020408163265,0.5606060606060606,0.6434782608695652
occupation, Machine-op-inspct,386,0.8571428571428571,0.21818181818181817,0.34782608695652173
occupation, Prof-specialty,845,0.8004926108374384,0.8485639686684073,0.8238276299112801
occupation, Handlers-cleaners,277,0.8,0.23529411764705882,0.3636363636363636
occupation, Protective-serv,132,0.7857142857142857,0.55,0.6470588235294117
occupation, Priv-house-serv,43,1.0,1.0,1.0
occupation, Tech-support,172,0.6724137931034483,0.7959183673469388,0.7289719626168225
occupation, Armed-Forces,1,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
relationship, Wife,298,0.7642276422764228,0.6619718309859155,0.709433962264151
relationship, Unmarried,625,0.7692307692307693,0.25,0.37735849056603776
relationship, Other-relative,179,0.8,0.36363636363636365,0.5000000000000001
relationship, Own-child,900,0.25,0.16666666666666666,0.2
relationship, Not-in-family,1517,0.8333333333333334,0.4513888888888889,0.5855855855855856
relationship, Husband,2509,0.7806580259222333,0.6761658031088082,0.7246645071726052
feature,feature value,n_samples,precision,recall,fbeta
race, White,5184,0.7782764811490126,0.6422222222222222,0.7037337662337663
race, Black,568,0.835820895522388,0.6222222222222222,0.7133757961783439
race, Asian-Pac-Islander,193,0.7631578947368421,0.58,0.6590909090909091
race, Other,39,0.6666666666666666,0.3333333333333333,0.4444444444444444
race, Amer-Indian-Eskimo,44,0.75,0.6,0.6666666666666665
feature,feature value,n_samples,precision,recall,fbeta
sex, Female,1944,0.7658227848101266,0.5845410628019324,0.663013698630137
sex, Male,4084,0.7827715355805244,0.6460587326120556,0.7078746824724809
feature,feature value,n_samples,precision,recall,fbeta
native-country, United-States,5510,0.7801911381407471,0.6409707351891506,0.7037617554858933
native-country, El-Salvador,22,1.0,0.75,0.8571428571428571
native-country, South,17,1.0,0.5,0.6666666666666666
native-country, Mexico,107,0.6666666666666666,0.3333333333333333,0.4444444444444444
native-country, Thailand,4,1.0,1.0,1.0
native-country, Cambodia,7,1.0,0.0,0.0
native-country, India,17,1.0,0.6666666666666666,0.8
native-country, Italy,13,0.6666666666666666,0.5,0.5714285714285715
native-country, Ecuador,6,1.0,0.0,0.0
native-country, Guatemala,11,1.0,1.0,1.0
native-country, Vietnam,15,1.0,0.0,0.0
native-country, Puerto-Rico,22,1.0,1.0,1.0
native-country, Poland,15,1.0,0.5,0.6666666666666666
